사용월,호선명,역ID,지하철역,승차승객수,하차승객수,작업일시
2021-09,1호선,1,서울역,"953,548","920,305",2021-10-03 09:44:43
2021-09,1호선,10,동묘앞,"249,769","259,214",2021-10-03 09:44:43
2021-09,1호선,2,시청,"449,633","449,585",2021-10-03 09:44:43
2021-09,1호선,3,종각,"700,047","676,796",2021-10-03 09:44:43
2021-09,1호선,4,종로3가,"601,558","549,515",2021-10-03 09:44:43
2021-09,1호선,5,종로5가,"517,369","514,876",2021-10-03 09:44:43
2021-09,1호선,6,동대문,"291,775","277,978",2021-10-03 09:44:43
2021-09,1호선,7,신설동,"329,036","321,518",2021-10-03 09:44:43
2021-09,1호선,8,제기동,"442,085","457,033",2021-10-03 09:44:43
2021-09,1호선,9,청량리(서울시립대입구),"507,651","510,944",2021-10-03 09:44:43
2021-09,2호선,11,시청,"456,803","436,229",2021-10-03 09:44:43
2021-09,2호선,12,을지로입구,"804,799","814,763",2021-10-03 09:44:43
2021-09,2호선,13,을지로3가,"444,056","442,372",2021-10-03 09:44:43
2021-09,2호선,14,을지로4가,"277,223","274,958",2021-10-03 09:44:43
2021-09,2호선,15,동대문역사문화공원(DDP),"275,847","307,604",2021-10-03 09:44:43
2021-09,2호선,16,신당,"329,597","342,187",2021-10-03 09:44:43
2021-09,2호선,17,상왕십리,"327,501","319,516",2021-10-03 09:44:43
2021-09,2호선,18,왕십리(성동구청),"363,603","290,421",2021-10-03 09:44:43
2021-09,2호선,19,한양대,"146,299","151,395",2021-10-03 09:44:43
2021-09,2호선,20,뚝섬,"487,450","521,926",2021-10-03 09:44:43
2021-09,2호선,21,성수,"781,713","864,967",2021-10-03 09:44:43
2021-09,2호선,22,건대입구,"812,800","870,511",2021-10-03 09:44:43
2021-09,2호선,23,구의(광진구청),"542,981","536,127",2021-10-03 09:44:43
2021-09,2호선,24,강변(동서울터미널),"746,063","733,116",2021-10-03 09:44:43
2021-09,2호선,25,잠실나루,"318,940","312,916",2021-10-03 09:44:43
2021-09,2호선,26,잠실(송파구청),"1,547,048","1,522,454",2021-10-03 09:44:43
2021-09,2호선,27,잠실새내,"477,028","480,376",2021-10-03 09:44:43
2021-09,2호선,28,종합운동장,"160,573","170,402",2021-10-03 09:44:43
2021-09,2호선,29,삼성(무역센터),"1,046,958","1,056,806",2021-10-03 09:44:43
2021-09,2호선,30,선릉,"1,139,316","1,013,202",2021-10-03 09:44:43
2021-09,2호선,31,역삼,"1,017,883","1,122,448",2021-10-03 09:44:43
2021-09,2호선,32,강남,"1,801,047","1,756,592",2021-10-03 09:44:43
2021-09,2호선,33,교대(법원.검찰청),"721,218","815,594",2021-10-03 09:44:43
2021-09,2호선,34,서초,"458,447","439,360",2021-10-03 09:44:43
2021-09,2호선,35,방배,"373,385","392,430",2021-10-03 09:44:43
2021-09,2호선,36,사당,"826,333","895,408",2021-10-03 09:44:43
2021-09,2호선,37,낙성대(강감찬),"645,388","622,722",2021-10-03 09:44:43
2021-09,2호선,38,서울대입구(관악구청),"1,108,585","1,091,368",2021-10-03 09:44:43
2021-09,2호선,39,봉천,"562,346","524,672",2021-10-03 09:44:43
2021-09,2호선,40,신림,"1,487,787","1,446,578",2021-10-03 09:44:43
2021-09,2호선,41,신대방,"630,388","613,479",2021-10-03 09:44:43
2021-09,2호선,42,구로디지털단지,"1,308,427","1,311,490",2021-10-03 09:44:43
2021-09,2호선,43,대림(구로구청),"578,102","595,498",2021-10-03 09:44:43
2021-09,2호선,44,신도림,"1,114,285","1,094,336",2021-10-03 09:44:43
2021-09,2호선,45,문래,"460,736","474,027",2021-10-03 09:44:43
2021-09,2호선,46,영등포구청,"502,174","508,201",2021-10-03 09:44:43
2021-09,2호선,47,당산,"425,372","484,864",2021-10-03 09:44:43
2021-09,2호선,48,합정,"718,143","755,083",2021-10-03 09:44:43
2021-09,2호선,49,홍대입구,"1,276,764","1,328,947",2021-10-03 09:44:43
2021-09,2호선,50,신촌,"768,861","786,297",2021-10-03 09:44:43
2021-09,2호선,51,이대,"299,130","314,403",2021-10-03 09:44:43
2021-09,2호선,52,아현,"246,124","236,644",2021-10-03 09:44:43
2021-09,2호선,53,충정로(경기대입구),"215,291","224,519",2021-10-03 09:44:43
2021-09,2호선,54,용답,"66,029","65,039",2021-10-03 09:44:43
2021-09,2호선,55,신답,"36,959","42,115",2021-10-03 09:44:43
2021-09,2호선,56,신설동,"80,980","65,476",2021-10-03 09:44:43
2021-09,2호선,57,도림천,"31,077","31,210",2021-10-03 09:44:43
2021-09,2호선,58,양천구청,"155,932","164,774",2021-10-03 09:44:43
2021-09,2호선,59,신정네거리,"240,399","248,453",2021-10-03 09:44:43
2021-09,2호선,60,용두(동대문구청),"57,418","58,187",2021-10-03 09:44:43
2021-09,3호선,61,지축,"104,950","101,781",2021-10-03 09:44:43
2021-09,3호선,62,구파발,"488,103","470,832",2021-10-03 09:44:43
2021-09,3호선,63,연신내,"903,182","854,305",2021-10-03 09:44:43
2021-09,3호선,64,불광,"402,198","436,454",2021-10-03 09:44:43
