"date_id","블록 이름","발화","블록호출수"
"2021-10-01","날씨","날씨","11"
"2021-10-01","날짜 입력","오늘","9"
"2021-10-01","날짜 입력","식당 등록 확정","9"
"2021-10-01","도움말","도움말","165"
"2021-10-01","도움말","ㄷㅇㅁ","4"
"2021-10-01","번호","번호","4"
"2021-10-01","셔틀","셔틀","26"
"2021-10-01","셔틀","셔틀시간표조회","9"
"2021-10-01","셔틀","ㅅㅌ","4"
"2021-10-01","식단 등록-석식","석식 등록하러 가기","8"
"2021-10-01","식단 등록-석식","우동 닭갈비 맛살전","2"
"2021-10-01","식단 등록-중식","중식 식단 입력하러 가기","6"
"2021-10-01","식단 등록-중식","중식 등록 다시 하기","4"
"2021-10-01","식단 등록-중식","제육볶음 미트볼 모둠전","3"
"2021-10-01","식단 등록-중식","중식 생선까스 떡갈비햄볶음 양배추찜","2"
"2021-10-01","식단 등록-중식","식단등록","2"
"2021-10-01","식당 확인","세미콘식당","3"
"2021-10-01","식당 확인","식단등록","3"
"2021-10-01","식당 확인","메뉴등록","2"
"2021-10-01","식당 확인","푸드라운지","2"
"2021-10-01","웰컴 블록","","76"
"2021-10-01","추천","추천","10"
"2021-10-01","추천","산기대학로 추천장소","4"
"2021-10-01","코로나 확진자 수","코로나","5"
"2021-10-01","학식","학식","176"
"2021-10-01","학식","ㅁㄴ","143"
"2021-10-01","학식","금일식당메뉴조회","60"
"2021-10-01","학식","ㅎㅅ","47"
"2021-10-01","학식","메뉴","42"
"2021-10-01","학식","미가","25"
"2021-10-01","학식","밥","10"
"2021-10-01","학식","ㅁㄱ","8"
"2021-10-01","학식","식단","5"
"2021-10-01","학식","식당","4"
"2021-10-01","학식","세미콘","2"
"2021-10-01","학식","식당메뉴","2"
"2021-10-01","후원","후원 및 팀원모집","2"
