"date_id","이전블록이름","블록이름","호출수"
"2021-10-01","","학식","233"
"2021-10-01","도움말","학식","123"
"2021-10-01","","웰컴 블록","76"
"2021-10-01","","도움말","64"
"2021-10-01","","학식","61"
"2021-10-01","학식","도움말","58"
"2021-10-01","웰컴 블록","학식","46"
"2021-10-01","학식","학식","39"
"2021-10-01","","도움말","25"
"2021-10-01","폴백 블록","학식","15"
"2021-10-01","도움말","셔틀","14"
"2021-10-01","","폴백 블록","14"
"2021-10-01","식단 등록-중식","식단 등록-중식","12"
"2021-10-01","날짜 입력","날짜 입력","9"
"2021-10-01","식단 등록-석식","식단 등록-석식","8"
"2021-10-01","식단 등록-중식","식단 등록-석식","8"
"2021-10-01","","셔틀","8"
"2021-10-01","식단 등록-석식","날짜 입력","7"
"2021-10-01","웰컴 블록","셔틀","6"
"2021-10-01","도움말","날씨","6"
"2021-10-01","식당 확인","식단 등록-중식","6"
"2021-10-01","식당 확인","식당 확인","6"
"2021-10-01","셔틀","도움말","5"
"2021-10-01","셔틀","추천","4"
"2021-10-01","날씨","셔틀","4"
"2021-10-01","웰컴 블록","추천","4"
"2021-10-01","도움말","추천","4"
"2021-10-01","폴백 블록","셔틀","3"
"2021-10-01","날짜 입력","도움말","3"
"2021-10-01","도움말","코로나 확진자 수","3"
"2021-10-01","폴백 블록","폴백 블록","3"
"2021-10-01","학식","폴백 블록","3"
"2021-10-01","날씨","날씨","2"
"2021-10-01","","식당 확인","2"
"2021-10-01","날씨","도움말","2"
"2021-10-01","시설","번호","2"
"2021-10-01","","셔틀","2"
"2021-10-01","추천","도움말","2"
"2021-10-01","웰컴 블록","후원","2"
"2021-10-01","폴백 블록","도움말","2"
"2021-10-01","날짜 입력","학식","2"
"2021-10-01","도움말","폴백 블록","2"
"2021-10-01","학식","날씨","2"
"2021-10-01","","날씨","2"
"2021-10-01","학식","식당 확인","2"
"2021-10-02","","학식","58"
"2021-10-02","도움말","학식","24"
"2021-10-02","","도움말","18"
"2021-10-02","","학식","18"
"2021-10-02","","웰컴 블록","8"
"2021-10-02","학식","학식","7"
"2021-10-02","웰컴 블록","학식","4"
"2021-10-02","학식","도움말","4"
"2021-10-02","","셔틀","4"
"2021-10-02","식단 등록-중식","식단 등록-중식","4"
"2021-10-02","식당 확인","식당 확인","3"
"2021-10-02","","도움말","2"
"2021-10-02","웰컴 블록","셔틀","2"
"2021-10-02","식당 확인","식단 등록-중식","2"
"2021-10-02","폴백 블록","학식","2"
"2021-10-02","","식당 확인","2"
"2021-10-03","","학식","20"
"2021-10-03","도움말","학식","8"
"2021-10-03","","도움말","6"
"2021-10-03","","웰컴 블록","4"
"2021-10-03","학식","도움말","4"
"2021-10-03","도움말","셔틀","3"
"2021-10-03","","학식","3"
"2021-10-03","학식","학식","2"
"2021-10-03","","폴백 블록","2"
"2021-10-04","","학식","103"
"2021-10-04","도움말","학식","52"
"2021-10-04","","학식","34"
"2021-10-04","","도움말","34"
"2021-10-04","학식","학식","20"
"2021-10-04","","도움말","14"
"2021-10-04","식단 등록-중식","식단 등록-중식","10"
"2021-10-04","식단 등록-중식","식단 등록-석식","8"
"2021-10-04","학식","도움말","8"
