"date_id","활성사용자수","활성사용자수(웰컴 및 Event 수신제외)","신규사용자수","재방문사용자수","누적사용자수"
"2021-01-01","1","1","0","1","1331"
"2021-01-02","1","1","0","1","1331"
"2021-01-03","4","4","1","3","1332"
"2021-01-04","49","49","0","49","1332"
"2021-01-05","54","54","2","52","1334"
"2021-01-06","63","62","5","58","1339"
"2021-01-07","64","64","5","59","1344"
"2021-01-08","33","33","1","32","1345"
"2021-01-09","4","4","0","4","1345"
"2021-01-10","5","4","1","4","1346"
"2021-01-11","54","54","1","53","1347"
"2021-01-12","58","58","3","55","1350"
"2021-01-13","65","65","7","58","1357"
"2021-01-14","55","55","1","54","1358"
"2021-01-15","38","38","1","37","1359"
"2021-01-16","4","4","0","4","1359"
"2021-01-17","3","3","0","3","1359"
"2021-01-18","56","56","0","56","1359"
"2021-01-19","62","62","2","60","1361"
"2021-01-20","57","57","2","55","1363"
"2021-01-21","52","52","1","51","1364"
"2021-01-22","45","45","0","45","1364"
"2021-01-23","3","3","0","3","1364"
"2021-01-24","2","2","0","2","1364"
"2021-01-25","52","52","0","52","1364"
"2021-01-26","48","48","1","47","1365"
"2021-01-27","58","58","2","56","1367"
"2021-01-28","52","52","5","47","1372"
"2021-01-29","49","48","2","47","1374"
"2021-01-30","3","3","0","3","1374"
"2021-02-01","46","46","0","46","1374"
"2021-02-02","41","41","1","40","1375"
"2021-02-03","50","50","1","49","1376"
"2021-02-04","51","51","1","50","1377"
"2021-02-05","43","42","3","40","1380"
"2021-02-06","5","5","1","4","1381"
"2021-02-07","3","3","0","3","1381"
"2021-02-08","40","40","1","39","1382"
"2021-02-09","44","44","1","43","1383"
"2021-02-10","21","21","0","21","1383"
"2021-02-11","2","2","1","1","1384"
"2021-02-12","2","2","0","2","1384"
"2021-02-14","2","2","0","2","1384"
"2021-02-15","43","43","0","43","1384"
"2021-02-16","38","38","0","38","1384"
"2021-02-17","48","47","2","46","1386"
"2021-02-18","41","38","9","32","1395"
"2021-02-19","31","30","11","20","1406"
"2021-02-20","12","12","10","2","1416"
"2021-02-21","6","6","4","2","1420"
"2021-02-22","30","30","2","28","1422"
"2021-02-23","29","29","3","26","1425"
"2021-02-24","25","27","6","19","1431"
"2021-02-25","33","32","5","28","1436"
"2021-02-26","24","23","1","23","1437"
"2021-02-27","17","17","4","13","1441"
"2021-02-28","12","10","6","6","1447"
"2021-03-01","31","30","13","18","1460"
"2021-03-02","131","130","10","121","1470"
"2021-03-03","138","137","15","123","1485"
"2021-03-04","176","171","50","126","1535"
"2021-03-05","143","140","40","103","1575"
"2021-03-06","19","19","2","17","1577"
"2021-03-07","19","18","8","11","1585"
"2021-03-08","157","157","12","145","1597"
"2021-03-09","158","158","16","142","1613"
"2021-03-10","217","216","37","180","1650"
"2021-03-11","163","163","12","151","1662"
"2021-03-12","137","137","6","131","1668"
"2021-03-13","41","41","4","37","1672"
"2021-03-14","37","36","10","27","1682"
"2021-03-15","201","201","12","189","1694"
"2021-03-16","227","227","15","212","1709"
"2021-03-17","242","240","22","220","1731"
"2021-03-18","233","233","25","208","1756"
"2021-03-19","160","160","9","151","1765"
"2021-03-20","49","49","9","40","1774"
"2021-03-21","26","25","6","20","1780"
"2021-03-22","244","242","19","225","1799"
"2021-03-23","299","299","18","281","1817"
"2021-03-24","265","263","27","238","1844"
"2021-03-25","268","266","18","250","1862"
"2021-03-26","198","197","13","185","1875"
"2021-03-27","47","47","6","41","1881"
"2021-03-28","24","24","2","22","1883"
"2021-03-29","254","253","15","239","1898"
"2021-03-30","308","308","20","288","1918"
"2021-04-01","262","260","13","249","1941"
"2021-04-02","201","199","12","189","1953"
"2021-04-03","25","25","0","25","1953"
"2021-04-04","26","25","3","23","1956"
"2021-04-05","277","277","11","266","1967"
"2021-04-06","263","263","5","258","1972"
"2021-04-07","255","255","6","249","1978"
"2021-04-08","234","234","7","227","1985"
"2021-04-09","227","227","5","222","1990"
"2021-04-10","53","53","3","50","1993"
"2021-04-11","35","35","3","32","1996"
"2021-04-12","243","243","7","236","2003"
