date_id,블록이름,호출수
2021-01-03,학식,2
2021-01-04,도움말,11
2021-01-04,셔틀,3
2021-01-04,폴백 블록,3
2021-01-04,학식,55
2021-01-05,도움말,29
2021-01-05,웰컴 블록,2
2021-01-05,폴백 블록,8
2021-01-05,학식,109
2021-01-06,도움말,16
2021-01-06,웰컴 블록,5
2021-01-06,폴백 블록,5
2021-01-06,학식,68
2021-01-07,날씨,15
2021-01-07,도움말,28
2021-01-07,셔틀,2
2021-01-07,웰컴 블록,5
2021-01-07,폴백 블록,13
2021-01-07,학식,72
2021-01-07,후원,2
2021-01-08,날씨,11
2021-01-08,도움말,14
2021-01-08,번호,2
2021-01-08,셔틀,2
2021-01-08,시설,2
2021-01-08,추천,2
2021-01-08,폴백 블록,5
2021-01-08,학식,30
2021-01-09,도움말,2
2021-01-09,학식,2
2021-01-10,도움말,2
2021-01-10,학식,2
2021-01-11,날씨,6
2021-01-11,도움말,20
2021-01-11,셔틀,5
2021-01-11,폴백 블록,16
2021-01-11,학식,59
2021-01-12,도움말,18
2021-01-12,웰컴 블록,3
2021-01-12,폴백 블록,8
2021-01-12,학식,66
2021-01-13,도움말,12
2021-01-13,셔틀,3
2021-01-13,웰컴 블록,7
2021-01-13,폴백 블록,6
2021-01-13,학식,67
2021-01-13,후원,2
2021-01-14,도움말,19
2021-01-14,폴백 블록,7
2021-01-14,학식,75
2021-01-15,도움말,12
2021-01-15,폴백 블록,2
2021-01-15,학식,39
2021-01-16,학식,3
2021-01-17,학식,2
2021-01-18,도움말,17
2021-01-18,폴백 블록,5
2021-01-18,학식,59
2021-01-19,도움말,23
2021-01-19,웰컴 블록,2
2021-01-19,폴백 블록,5
2021-01-19,학식,71
2021-01-20,도움말,23
2021-01-20,셔틀,4
2021-01-20,웰컴 블록,2
2021-01-20,폴백 블록,5
2021-01-20,학식,91
2021-01-20,후원,2
2021-01-21,도움말,16
2021-01-21,학식,62
2021-01-22,도움말,11
2021-01-22,폴백 블록,5
2021-01-22,학식,58
2021-01-24,도움말,2
2021-01-25,도움말,14
2021-01-25,셔틀,2
2021-01-25,폴백 블록,3
2021-01-25,학식,52
2021-01-26,도움말,18
2021-01-26,폴백 블록,2
2021-01-26,학식,51
2021-01-27,도움말,34
2021-01-27,셔틀,2
2021-01-27,웰컴 블록,2
2021-01-27,폴백 블록,6
2021-01-27,학식,97
2021-01-27,후원,2
2021-01-28,날씨,2
2021-01-28,도움말,16
2021-01-28,셔틀,2
2021-01-28,웰컴 블록,5
2021-01-28,학식,56
2021-01-29,도움말,34
2021-01-29,웰컴 블록,2
2021-01-29,폴백 블록,12
2021-01-29,학식,82
2021-01-30,학식,2
2021-02-01,도움말,13
2021-02-01,폴백 블록,3
2021-02-01,학식,53
2021-02-02,도움말,14
2021-02-02,폴백 블록,3
2021-02-02,학식,56
2021-02-03,도움말,13
2021-02-03,폴백 블록,4
2021-02-03,학식,48
2021-02-03,후원,2
2021-02-04,도움말,16
2021-02-04,폴백 블록,5
2021-02-04,학식,78
2021-02-05,도움말,14
2021-02-05,셔틀,3
2021-02-05,웰컴 블록,3
2021-02-05,폴백 블록,5
2021-02-05,학식,41
2021-02-06,학식,2
2021-02-08,도움말,16
2021-02-08,셔틀,2
2021-02-08,폴백 블록,4
2021-02-08,학식,47
2021-02-09,도움말,11
2021-02-09,폴백 블록,8
2021-02-09,학식,47
2021-02-10,도움말,8
2021-02-10,셔틀,3
2021-02-10,학식,30
2021-02-15,도움말,14
2021-02-15,학식,61
2021-02-16,도움말,10
2021-02-16,셔틀,3
2021-02-16,폴백 블록,5
2021-02-16,학식,35
2021-02-17,도움말,11
2021-02-17,셔틀,3
2021-02-17,웰컴 블록,2
2021-02-17,폴백 블록,4
2021-02-17,학식,56
2021-02-18,도움말,7
2021-02-18,웰컴 블록,6
2021-02-18,폴백 블록,4
